No,DHIS2 Code,MoH_Facility_Name,MoH_Facility_ID,HFR Code,DATIM_ID,SNU,PSNU,Facility,Facility,Military,Funding Agency,IP,COP23FY24
1,F1EKKSfgnnt,Shirati Kmt Other Hospital,F1EKKSfgnnt,107428-5,h9j3a1kgkt7,Mara,Rorya District Council,Shirati Kmt Other Hospital,Shirati Kmt Other Hospital,,CDC,AMREF,1
3,FoTxgdIYDVk,Bunda Other Hospital,FoTxgdIYDVk,100566-9,D2iQgh5l1JF,Mara,Bunda Town Council,Bunda Other Hospital,Bunda Other Hospital,,CDC,AMREF,1
4,UUaMQDFkEK2,Tarime District Hospital,UUaMQDFkEK2,109895-3,WR5hA1okbzC,Mara,Tarime Town Council,Tarime District Hospital,Tarime District Hospital,,CDC,AMREF,1
5,B2WJT9gW0Y9,Maswa District Hospital,B2WJT9gW0Y9,109208-9,Osi334JLHXh,Simiyu,Maswa District Council,Maswa District Hospital,Maswa District Hospital,,CDC,AMREF,1
6,PAARXcHWGq0,Mwalimu Nyerere Memorial Regional Referral Hospital,PAARXcHWGq0,105721-5,veHgRa6t42j,Mara,Musoma Municipal Council,Mwalimu Nyerere Memorial Regional Referral Hospital,Mwalimu Nyerere Memorial Regional Referral Hospital,,CDC,AMREF,1
7,zIHH1hZlfzl,Meatu District Hospital,zIHH1hZlfzl,104709-1,QLJ3PKXaVdb,Simiyu,Meatu District Council,Meatu District Hospital,Meatu District Hospital,,CDC,AMREF,1
8,t9507YAZ94u,Nassa Health Center,t9507YAZ94u,106210-8,HVkNpyPCzz3,Simiyu,Busega District Council,Nassa Health Center,Nassa Health Center,,CDC,AMREF,1
9,mJT3xJVX3C4,Bariadi Town Council District Hospital,mJT3xJVX3C4,100327-6,nFWwfLjlvWg,Simiyu,Bariadi Town Council,Bariadi Town Council District Hospital,Bariadi Town Council District Hospital,,CDC,AMREF,1
10,L1QEej2yP1C,Lukungu Health Center,L1QEej2yP1C,103696-1,p5WYOdt9CUs,Simiyu,Busega District Council,Lukungu Health Center,Lukungu Health Center,,CDC,AMREF,1
11,S2XA5eXM02l,Nyasho Health Center,S2XA5eXM02l,106826-1,HFnJjBBlzNB,Mara,Musoma Municipal Council,Nyasho Health Center,Nyasho Health Center,,CDC,AMREF,1
12,DKGy68soyFd,Kowak Other Hospital,DKGy68soyFd,103321-6,XUpLV5lMVsd,Mara,Rorya District Council,Kowak Other Hospital,Kowak Other Hospital,,CDC,AMREF,1
13,N0p567Ddj3s,Manyamanyama District Hospital,N0p567Ddj3s,104277-9,JM3F6PMgZzM,Mara,Bunda Town Council,Manyamanyama District Hospital,Manyamanyama District Hospital,,CDC,AMREF,1
14,Q6CHilL9Kuj,Nyangoto Health Center,Q6CHilL9Kuj,106774-3,UISoAUZHNhN,Mara,Tarime District Council,Nyangoto Health Center,Nyangoto Health Center,,CDC,AMREF,1
15,G3QYYdQllmB,Nyerere Other Hospital,G3QYYdQllmB,106847-7,MERR8Fixt9p,Mara,Serengeti District Council,Nyerere Other Hospital,Nyerere Other Hospital,,CDC,AMREF,1
16,Tpdr9FKnMzq,Muungano Health Center,Tpdr9FKnMzq,105737-1,C9PXt78a1Oy,Simiyu,Bariadi Town Council,Muungano Health Center,Muungano Health Center,,CDC,AMREF,1
17,GuTn8jqVIeh,Butiama District Hospital,GuTn8jqVIeh,100619-6,OyB0nAS4sWs,Mara,Butiama District Council,Butiama District Hospital,Butiama District Hospital,,CDC,AMREF,1
19,AEfztye4Y6e,Ikizu Health Center,AEfztye4Y6e,101652-6,cdzncPqMc3d,Mara,Bunda District Council,Ikizu Health Center,Ikizu Health Center,,CDC,AMREF,1
20,JOWgASwrWts,St. Mary'S Other Hospital,JOWgASwrWts,102584-0,vKZfXvw3mwe,Mara,Bunda District Council,St. Mary'S Other Hospital,St. Mary'S Other Hospital,,CDC,AMREF,1
21,iLqUl5mJ6U3,Rao Other Hospital,iLqUl5mJ6U3,107060-6,xgqHgJrcQtz,Mara,Rorya District Council,Rao Other Hospital,Rao Other Hospital,,CDC,AMREF,1
22,zGrChPSt5J6,Nyamikoma Dispensary,zGrChPSt5J6,106726-3,ty1TORM6Lxs,Simiyu,Busega District Council,Nyamikoma Dispensary,Nyamikoma Dispensary,,CDC,AMREF,1
23,F95MGnLq9ZI,Changuge Health Center,F95MGnLq9ZI,100736-8,zhSTvoiRxDZ,Mara,Rorya District Council,Changuge Health Center,Changuge Health Center,,CDC,AMREF,1
24,D9jpJVNzILE,Lalago Health Center,D9jpJVNzILE,103453-7,lPiXSkaiNho,Simiyu,Maswa District Council,Lalago Health Center,Lalago Health Center,,CDC,AMREF,1
25,l9FW6Mpr9oZ,Utegi Health Center,l9FW6Mpr9oZ,108201-5,noGNoB9XswR,Mara,Rorya District Council,Utegi Health Center,Utegi Health Center,,CDC,AMREF,1
26,GrbhN1Xz0gM,Coptic Health Center,GrbhN1Xz0gM,100930-7,RpOxVGpV3AU,Mara,Musoma Municipal Council,Coptic Health Center,Coptic Health Center,,CDC,AMREF,1
27,myf5crTHGpQ,Panyakoo Dispensary,myf5crTHGpQ,106974-9,QnMaOIULXfw,Mara,Rorya District Council,Panyakoo Dispensary,Panyakoo Dispensary,,CDC,AMREF,1
28,vBPVwsofoFO,Mafinga District Hospital,vBPVwsofoFO,103877-7,Ocb9mdSHzDw,Iringa,Mafinga Town Council,Mafinga District Hospital,Mafinga District Hospital,,USAID,Deloitte,1
29,ApAeNRH1CV2,Makambako . Health Center,ApAeNRH1CV2,104072-4,Ee7lrwob9XU,Njombe,Makambako Town Council,Makambako . Health Center,Makambako . Health Center,,USAID,Deloitte,1
30,wqsg4ASS5jT,St. Francis Other Hospital,wqsg4ASS5jT,107585-2,GOxaz6EqAdo,Morogoro,Ifakara Town Council,St. Francis Other Hospital,St. Francis Other Hospital,,USAID,Deloitte,1
31,fhlyFlxCCQA,Sabasaba Health Center,fhlyFlxCCQA,107215-6,ju3smTkOZqn,Morogoro,Morogoro Municipal Council,Sabasaba Health Center,Sabasaba Health Center,,USAID,Deloitte,1
32,ds3c4phbI03,Mbinga Tc District Hospital,ds3c4phbI03,104616-8,ZsA3EAwos4Z,Ruvuma,Mbinga Town Council,Mbinga Tc District Hospital,Mbinga Tc District Hospital,,USAID,Deloitte,1
33,V0ooymSqezW,Iringa Regional Referral Hospital,V0ooymSqezW,101854-8,x8Fnge8MarN,Iringa,Iringa Municipal Council,Iringa Regional Referral Hospital,Iringa Regional Referral Hospital,,USAID,Deloitte,1
34,iOyC6kkyHAw,Morogoro Regional Referral Hospital,iOyC6kkyHAw,105299-2,pgCfKxei1FX,Morogoro,Morogoro Municipal Council,Morogoro Regional Referral Hospital,Morogoro Regional Referral Hospital,,USAID,Deloitte,1
35,j92vRz8NTmk,Ruvuma Regional Referral Hospital,j92vRz8NTmk,107543-1,D5TDFSLDGHV,Ruvuma,Songea Municipal Council,Ruvuma Regional Referral Hospital,Ruvuma Regional Referral Hospital,,USAID,Deloitte,1
36,aTADWW7LE1B,Mkomaindo District Hospital,aTADWW7LE1B,105093-9,pRFpLxy2RcF,Mtwara,Masasi Town Council,Mkomaindo District Hospital,Mkomaindo District Hospital,,USAID,Deloitte,1
37,K4aHsPM0DqN,Tunduru District Hospital,K4aHsPM0DqN,107946-6,rbkeVh1DJzt,Ruvuma,Tunduru District Council,Tunduru District Hospital,Tunduru District Hospital,,USAID,Deloitte,1
38,lCj7SbW4jLA,Njombe Town District Hospital,lCj7SbW4jLA,106501-0,a49rP4r4T7o,Njombe,Njombe Town Council,Njombe Town District Hospital,Njombe Town District Hospital,,USAID,Deloitte,1
39,rO4vEn3DFnc,Njombe Health Center,rO4vEn3DFnc,106502-8,ex2SdOFqRra,Njombe,Njombe Town Council,Njombe Health Center,Njombe Health Center,,USAID,Deloitte,1
40,MIisJFuh6VG,Ilula Other Hospital,MIisJFuh6VG,101768-0,vY5KL6PwkVq,Iringa,Kilolo District Council,Ilula Other Hospital,Ilula Other Hospital,,USAID,Deloitte,1
41,T8NptpYyujK,Mlimba Health Center,T8NptpYyujK,105207-5,KbFLT5HNMPZ,Morogoro,Mlimba District Council,Mlimba Health Center,Mlimba Health Center,,USAID,Deloitte,1
42,xyEZbOHfvkd,Ndanda Other Hospital,xyEZbOHfvkd,107571-2,z0CEmgsV3f5,Mtwara,Masasi District Council,Ndanda Other Hospital,Ndanda Other Hospital,,USAID,Deloitte,1
